,,,,,,,,,,,,,
,,,,,,,,,Stop 1,,,,
Today,14/03/2024,,,,,, ,,24.27%,"51,500,000","50,000","12,500,000",
Season,Truck owner, , ,Week,Pick up date,District,Status, ,Arrival time at Stop 1,# of farmers,Sector,Site,Volume 1 in kgs
2023A,IZ Service,,,6-Mar,3/6/2023,Kayonza,#REF!,,01:30,8,Mwiri,Nyamugari,"10,439"
2023A,IZ Service,,,6-Mar,3/6/2023,Rwamagana,#REF!,,15:11,7,Munyiginya,Nkomangwa,"9,750"
2023A,Internal,,,6-Mar,3/6/2023,Gatsibo,#REF!,,05:00,3,Kiramuruzi,Kiramuruzi,"12,128"
2023A,Internal,,,6-Mar,3/6/2023,Gatsibo,#REF!,,11:00,4,Kiramuruzi,Kiramuruzi,"13,757"
2023A,IZ Service,,,6-Mar,3/7/2023,Ngoma,#REF!,,09:00,1,Gashanda,Giseri,"12,060"
2023A,IZ Service,,,6-Mar,3/7/2023,Ngoma,#REF!,,16:00,1,Gashanda,Munege,"6,289"
2023A,IZ Service,,,6-Mar,3/7/2023,Ngoma,#REF!,,14:00,1,Gashanda,Munege,"9,818"
2023A,IZ Service,,,6-Mar,3/7/2023,Ngoma,#REF!,,14:14,10,Zaza,Nyagasaza,"11,840"
2023A,IZ Service,,,6-Mar,3/7/2023,Kirehe,#REF!,,12:00,17,Mpanga,Nyakabungo,"10,507"
2023A,IZ Service,,,6-Mar,3/7/2023,Nyagatare,#REF!,,10:05,9,Mimuli,Mahoro,"10,366"
2023A,IZ Service,,,6-Mar,3/7/2023,Kayonza,#REF!,,12:45,5,Gahini,Urugarama,"4,454"
2023A,IZ Service,,,6-Mar,3/7/2023,Kayonza,#REF!,,18:30,2,Murundi,Ryamanyoni,"10,692"
2023A,IZ Service,,,6-Mar,3/7/2023,Rwamagana,#REF!,,09:40,7,Munyiginya,Munyaga,"10,220"
2023A,IZ Service,,,6-Mar,3/7/2023,Kayonza,#REF!,,11:15,3,Ndego,Isangano,"10,100"
2023A,IZ Service,,,6-Mar,3/7/2023,Gatsibo,#REF!,,11:15,5,Kiziguro,Ndatemwa B,"10,558"
2023A,IZ Service,,,6-Mar,3/7/2023,Kayonza,#REF!,,08:30,2,Rwinkwavu,Gihinga,"10,382"
2023A,IZ Service,,,6-Mar,3/8/2023,Ngoma,#REF!,,07:40,,Gashanda,Cyerwa,"10,328"
2023A,IZ Service,,,6-Mar,3/8/2023,Ngoma,#REF!,,14:20,7,Gashanda,Munege,"10,863"
2023A,IZ Service,,,6-Mar,3/8/2023,Ngoma,#REF!,,12:30,8,Mutenderi,Nyamugali,"10,311"
2023A,IZ Service,,,6-Mar,3/8/2023,Ngoma,#REF!,,11:00,3,Karembo,Karembo,"10,767"
2023A,IZ Service,,,6-Mar,3/8/2023,Kirehe,#REF!,,11:00,5,Mpanga,Kankobwa,"5,926"
2023A,IZ Service,,,6-Mar,3/8/2023,Nyagatare,#REF!,,12:09,6,Mimuli,Nyabugogo,"8,674"
2023A,IZ Service,,,6-Mar,3/8/2023,Gatsibo,#REF!,,16:50,2,Rwimbogo,Rwikiniro,"11,765"
2023A,IZ Service,,,6-Mar,3/8/2023,Rwamagana,#REF!,,17:11,19,Munyaga,Kaduha,"11,066"
2023A,IZ Service,,,6-Mar,3/8/2023,Rwamagana,#REF!,,15:30,9,Mwulire,Kabuya,"10,109"
2023A,IZ Service,,,6-Mar,3/8/2023,Kayonza,#REF!,,10:50,2,Rwinkwavu,Matinza,"11,082"
2023A,IZ Service,,,6-Mar,3/8/2023,Nyagatare,#REF!,,10:50,2,Katabagemu,Rugazi,"11,033"
2023A,IZ Service,,,6-Mar,3/8/2023,Kayonza,#REF!,,13:45,2,Mukarange,Mburabuturo,"8,543"
2023A,Internal,,,6-Mar,3/8/2023,Gatsibo,#REF!,,11:30,4,Gatsibo,Gatsibo,"14,415"
2023A,IZ Service,,,6-Mar,3/9/2023,Kayonza,#REF!,,11:07,6,Rwinkwavu,Gihinga,"11,074"
2023A,IZ Service,,,6-Mar,3/9/2023,Kayonza,#REF!,,10:00,7,Murundi,Ryamanyoni,"10,027"
2023A,IZ Service,,,6-Mar,3/9/2023,Ngoma,#REF!,,09:00,12,Gashanda,Cyerwa,"10,692"
2023A,IZ Service,,,6-Mar,3/9/2023,Kayonza,#REF!,,08:30,6,Rwinkwavu,Gihinga,"10,050"
2023A,IZ Service,,,6-Mar,3/9/2023,Gatsibo,#REF!,,11:30,1,Rwimbogo,Rwikiniro,"12,147"
2023A,IZ Service,,,6-Mar,3/9/2023,Gatsibo,#REF!,,14:30,3,Kabarore,Kabarore,"10,500"
2023A,IZ Service,,,6-Mar,3/9/2023,Ngoma,#REF!,,14:00,7,Karembo,Nyamirambo,"8,649"
2023A,IZ Service,,,6-Mar,3/9/2023,Rwamagana,#REF!,,15:00,4,Munyiginya,Nkomangwa,"8,934"
2023A,IZ Service,,,6-Mar,3/9/2023,Kayonza,#REF!,,18:00,1,Kabare,Cyarubare,"9,972"
2023A,IZ Service,,,6-Mar,3/9/2023,Kayonza,#REF!,,11:30,6,Gahini,Urugarama,"5,074"
2023A,IZ Service,,,6-Mar,3/9/2023,Ngoma,#REF!,,16:50,13,Mutenderi,Mutenderi,"7,691"
2023A,IZ Service,,,6-Mar,3/9/2023,Ngoma,#REF!,,19:00,17,Kazo,Kinyonzo,"10,130"
2023A,IZ Service,,,6-Mar,3/9/2023,Gatsibo,#REF!,,15:50,4,Rwimbogo,Rwikiniro,"10,113"
2023A,IZ Service,,,6-Mar,3/9/2023,Rulindo,#REF!,,10:03,2,Masoro,Masoro,"5,149"
2023A,IZ Service,,,6-Mar,3/10/2023,Kayonza,#REF!,,09:00,3,Rwinkwavu,Matinza,"8,793"
2023A,IZ Service,,,6-Mar,3/10/2023,Kayonza,#REF!,,,,Ndego,,
2023A,IZ Service,,,6-Mar,3/10/2023,Rwamagana,#REF!,,10:30,8,Munyaga,Kaduha,"8,065"
2023A,IZ Service,,,6-Mar,3/10/2023,Gatsibo,#REF!,,12:05 PM,3,Murambi,Rwimitereri,"10,666"
2023A,IZ Service,,,6-Mar,3/10/2023,Gatsibo,#REF!,,12:45,2,Murambi,Rwimitereri,"10,049"
2023A,IZ Service,,,6-Mar,3/10/2023,Ngoma,#REF!,,13:40,13,Zaza,Nyagatugunga,"9,789"
2023A,IZ Service,,,6-Mar,3/10/2023,Kirehe,#REF!,,12:00,11,Mpanga,Nyakabungo,"10,471"
2023A,Internal,,,6-Mar,3/11/2023,Rwamagana,#REF!,,11:00,1,Gahengeri,Gahengeri,575
2023A,IZ Service,,,6-Mar,3/11/2023,Kayonza,#REF!,,14:30,3,Murama,Muko,"8,530"
2023A,IZ Service,,,6-Mar,3/11/2023,Kirehe,#REF!,,12:30,18,Mpanga,Nyakabungo,"10,239"
2023A,IZ Service,,,6-Mar,3/11/2023,Kirehe,#REF!,,06:30,9,Mpanga,Kankobwa,"9,065"
2023A,IZ Service,,,6-Mar,3/11/2023,Ngoma,#REF!,,14:50,5,Karembo,Nyamirambo,"10,064"
2023A,IZ Service,,,6-Mar,3/11/2023,Gatsibo,#REF!,,19:22,2,Kiramuruzi,Nyabisindu,"7,741"
2023A,IZ Service,,,13-Mar,3/13/2023,Kirehe,#REF!,,18:00,12,Mpanga,Kankobwa,"10,572"
2023A,IZ Service,,,13-Mar,3/13/2023,Ngoma,#REF!,,15:30,13,Rukira,Kibatsi,"9,414"
2023A,IZ Service,,,13-Mar,3/13/2023,Ngoma,#REF!,,09:50,8,Gashanda,Cyerwa,"10,458"
2023A,IZ Service,,,13-Mar,3/13/2023,Rwamagana,#REF!,,10:50,16,Munyaga,Kaduha,"9,408"
2023A,IZ Service,,,13-Mar,3/14/2023,Nyagatare,#REF!,,09:20,8,Mimuli,Nyabugogo,"11,847"
2023A,IZ Service,,,13-Mar,3/14/2023,Rwamagana,#REF!,,10:00,7,Gishari,Ruhunda,"10,659"
2023A,IZ Service,,,13-Mar,3/14/2023,Rwamagana,#REF!,,09:50,9,Munyiginya,Nkomangwa,"9,917"
2023A,IZ Service,,,13-Mar,3/14/2023,Ngoma,#REF!,,09:00,4,Karembo,Akaziba,"8,506"
2023A,IZ Service,,,13-Mar,3/14/2023,Ngoma,#REF!,,11:50,8,Gashanda,Cyerwa,"10,086"
2023A,IZ Service,,,13-Mar,3/14/2023,Ngoma,#REF!,,11:40,10,Mutenderi,Nyagasozi,"10,138"
2023A,IZ Service,,,13-Mar,3/14/2023,Kayonza,#REF!,,13:20,2,Murama,Muko,"6,496"
2023A,IZ Service,,,13-Mar,3/14/2023,Kirehe,#REF!,,15:00,15,Mpanga,Nyakabungo,"10,358"
2023A,IZ Service,,,13-Mar,3/14/2023,Kirehe,#REF!,,19:00,12,Mpanga,Kankobwa,"10,073"
2023A,IZ Service,,,13-Mar,3/14/2023,Kayonza,#REF!,,17:00,5,Gahini,Urugarama,"5,048"
2023A,IZ Service,,,13-Mar,3/15/2023,Ngoma,#REF!,,12:40,20,Kazo,Kinyonzo,"9,944"
